,1st_ionization_potential_(kJ/mol),Allred-Rockow_electronegativity,Atomic_Number,Atomic_Radus,Atomic_Weight,Boiling_Point_(K),Cohesive_energy,Covalent_Radius,Critical_Temperature,Density_(g/mL),Gordy_electonegativity,Melting_point_(K),Mendele_Number,Molar_Denstiy_(mol/ml),Molar_Heat_Capacity(J/mol_K),Nagle_electonegativity,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_s_valence_electrons,Orbital_Radius(pm),Pauling_Electronegativity,Period,Zunger_radii_sum,abs_valence,families,gilmor_number_of_valence_electron,group,heat_atomization(kJ/mol),heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,ionic_radius,l_quantum_number,metallic_valence,number_of_valence_electrons,outer_shell_electrons,polarizability(A^3),specific_heat_(J/g_K)_,thermal_conductivity_(W/(m_K))_,valence_d,valence_f,valence_p,valence_s
Ag,731,1.87,47,1.65,107.87,2485.15,2.95,1.53,7480.0,10.5,3.85,1235.15,65,0.1,25.35,1.45,0,14,6,1,128.6,1.93,5,2.38,0,4,2,11,284,11.3,250.58,1.6,0,5.44,11,1,7.9,0.24,429.0,10,0,0,1
Al,578,1.61,13,1.18,26.98,2740.15,3.39,1.18,8550.0,2.7,3.52,933.15,73,0.1,24.28,1.55,10,14,5,0,131.2,1.61,3,1.68,1,5,3,13,326,10.79,293.4,1.25,1,3.0,3,3,8.3,0.9,237.0,0,0,1,2
Ar,1521,3.24,18,0.71,39.95,87.45,0.08,0.97,150.69,0.0,7.96,83.95,100,0.0,20.77,3.18,10,14,6,2,65.9,0.0,3,0.0,6,9,0,18,0,1.19,6.45,0.71,1,0.0,0,0,1.59,0.52,0.02,0,0,0,0
As,947,2.21,33,1.14,74.92,890.15,2.96,1.19,2100.0,5.73,5.17,1090.15,84,0.08,24.72,2.11,10,14,3,0,100.1,2.18,4,1.42,3,6,5,15,302,27.7,34.76,1.15,1,3.0,5,5,4.3,0.33,50.0,0,0,3,2
Au,890,1.92,79,1.74,196.96653999999998,3353.15,3.81,1.44,6200.0,19.3,7.9791,1337.15,66,0.098,25.21171712,1.53,0,0,6,1,118.7,2.54,6,2.66,0,4,2,11,366,12.55,334.4,1.35,2,5.44,11,1,6.1,0.128,317.0,10,14,0,1
B,801,2.05,5,0.87,10.81,4275.0,5.81,0.82,3284.0,2.34,4.6,2352.15,72,0.22,11.03,2.02,10,14,5,0,77.6,2.04,2,0.8,1,6,3,13,573,50.2,489.7,0.85,1,3.0,3,3,3.0,1.02,27.0,0,0,1,2
Ba,503,0.88,56,2.53,137.33,1913.15,1.9,1.98,3270.0,3.5,4.47,998.15,9,0.03,28.01,0.98,10,14,6,0,206.0,0.89,6,3.4,2,2,2,2,180,7.75,142.0,2.15,0,2.0,2,2,39.7,0.2,18.4,0,0,0,2
Be,899,1.58,4,1.12,9.01,3243.15,3.32,0.9,13000.0,1.85,3.79,1551.15,67,0.21,16.4,1.55,10,14,6,0,104.0,1.57,2,1.08,2,2,2,2,324,7.95,292.4,1.05,0,2.0,2,2,5.6,1.82,200.0,0,0,0,2
Bi,703,2.01,83,1.43,208.98037,1833.15,2.18,1.46,4620.0,9.75,4.8288,544.15,86,0.0467,25.0776444,1.83,0,0,3,0,129.5,2.02,6,1.9969999999999999,3,5,5,15,207,11.3,104.8,1.6,1,3.0,5,5,7.4,0.12,7.87,10,14,3,2
Br,1140,2.69,35,0.94,79.9,331.95,1.22,1.14,584.0,3.12,6.41,265.95,95,0.04,37.79,2.56,10,14,1,0,85.1,2.96,4,1.2,5,8,7,17,112,5.29,15.44,1.15,1,0.0,7,7,3.1,0.47,0.12,0,0,5,2
C,1086,2.54,6,0.67,12.01,5100.15,7.37,0.77,6743.0,2.25,5.62,3640.15,77,0.19,8.53,2.55,10,14,4,0,62.0,2.55,2,0.64,2,7,4,14,717,105.0,355.8,0.7,1,4.0,4,4,1.8,0.71,129.0,0,0,2,2
Ca,590,1.03,20,1.94,40.08,1757.15,1.84,1.74,2880.0,1.55,3.01,1112.15,7,0.04,25.25,1.11,10,14,6,0,169.0,1.0,4,3.0,2,2,2,2,178,8.54,153.3,1.8,0,2.0,2,2,22.8,0.63,200.0,0,0,0,2
Cd,868,1.52,48,1.61,112.41,1038.15,1.16,1.48,2960.0,8.65,3.92,594.05,70,0.08,25.85,1.45,0,14,6,0,118.4,1.69,5,2.22,0,4,1,12,112,6.19,99.57,1.55,0,4.44,12,2,7.2,0.23,96.8,10,0,0,2
Ce,534,1.09,58,1.85,140.12,3530.15,4.32,1.65,10400.0,6.66,4.57,1071.15,15,0.05,26.62,1.05,9,13,6,0,197.8,1.12,6,4.5,1,3,3,3,419,5.46,414.0,1.85,3,3.2,3,2,29.6,0.19,11.4,1,1,0,2
Cl,1251,2.87,17,0.79,35.45,238.55,1.4,0.99,416.96,0.0,6.84,172.15,94,0.0,17.02,2.82,10,14,1,0,72.5,3.16,3,1.01,5,8,7,17,121,3.23,10.2,1.0,1,0.0,7,7,2.2,0.48,0.01,0,0,5,2
Co,760,1.84,27,1.52,58.93,3143.15,4.39,1.26,5400.0,8.9,3.5,1768.15,58,0.15,24.75,1.44,3,14,6,0,118.1,1.88,4,2.02,7,4,4,9,425,16.19,376.5,1.35,2,5.78,9,2,7.5,0.42,100.0,7,0,0,2
Cr,653,1.65,24,1.66,52.0,2945.15,4.1,1.27,4700.0,7.19,3.27,2130.15,49,0.14,23.4,1.29,5,14,6,1,145.3,1.66,4,2.44,5,4,4,6,397,16.9,344.3,1.4,2,5.78,6,1,11.6,0.45,93.7,5,0,0,1
